Date,Year,Month,Deforested_Pixels,Deforested_Area_km2,Quarter,DayOfYear,Cluster
2013-05-26,2013,5,11869,10.6821,2,146,0
2013-06-11,2013,6,4605,4.1445,2,162,0
2013-06-27,2013,6,28453,25.6077,2,178,0
2013-07-13,2013,7,46112,41.5008,3,194,2
2013-07-29,2013,7,4286,3.8574,3,210,0
2013-08-14,2013,8,36377,32.7393,3,226,0
2013-08-30,2013,8,73048,65.7432,3,242,2
2013-10-01,2013,10,73797,66.4173,4,274,2
2013-10-17,2013,10,50801,45.7209,4,290,2
2013-11-18,2013,11,8712,7.8408,4,322,0
2013-12-20,2013,12,144,0.1296,4,354,0
2014-01-05,2014,1,676,0.6084,1,5,0
2014-01-21,2014,1,7889,7.1001,1,21,0
2014-02-06,2014,2,11845,10.6605,1,37,0
2014-02-22,2014,2,19136,17.2224,1,53,0
2014-03-10,2014,3,29306,26.3754,1,69,0
2014-03-26,2014,3,67258,60.5322,1,85,2
2014-04-11,2014,4,138909,125.0181,2,101,1
2014-04-27,2014,4,26379,23.7411,2,117,0
2014-05-13,2014,5,11523,10.3707,2,133,0
2014-05-29,2014,5,8365,7.5285,2,149,0
2014-06-14,2014,6,20095,18.0855,2,165,0
2014-06-30,2014,6,21374,19.2366,2,181,0
2014-07-16,2014,7,6089,5.4801,3,197,0
2014-09-02,2014,9,46239,41.6151,3,245,2
2014-10-04,2014,10,20484,18.4356,4,277,0
2014-10-20,2014,10,7235,6.5115,4,293,0
2014-12-07,2014,12,45,0.0405,4,341,0
2015-01-08,2015,1,15283,13.7547,1,8,0
2015-01-24,2015,1,688,0.6192,1,24,0
2015-02-09,2015,2,3185,2.8665,1,40,0
2015-02-25,2015,2,15303,13.7727,1,56,0
2015-03-29,2015,3,70898,63.8082,1,88,2
2015-04-14,2015,4,28542,25.6878,2,104,0
2015-04-30,2015,4,19653,17.6877,2,120,0
2015-06-01,2015,6,9497,8.5473,2,152,0
2015-07-03,2015,7,35364,31.8276,3,184,0
2015-07-19,2015,7,4089,3.6801,3,200,0
2015-08-04,2015,8,14371,12.9339,3,216,0
2015-08-20,2015,8,110735,99.6615,3,232,1
2015-09-21,2015,9,22379,20.1411,3,264,0
2015-10-07,2015,10,36295,32.6655,4,280,0
2015-11-24,2015,11,10201,9.1809,4,328,0
2015-12-26,2015,12,2376,2.1384,4,360,0
2016-01-11,2016,1,5870,5.283,1,11,0
2016-01-27,2016,1,7241,6.5169,1,27,0
2016-02-12,2016,2,22486,20.2374,1,43,0
2016-02-28,2016,2,4230,3.807,1,59,0
2016-03-15,2016,3,63587,57.2283,1,75,2
2016-03-31,2016,3,49257,44.3313,1,91,2
2016-04-16,2016,4,15982,14.3838,2,107,0
2016-05-02,2016,5,27950,25.155,2,123,0
2016-05-18,2016,5,3087,2.7783,2,139,0
2016-06-03,2016,6,1530,1.377,2,155,0
2016-07-05,2016,7,17423,15.6807,3,187,0
2016-07-21,2016,7,1482,1.3338,3,203,0
2016-08-06,2016,8,9092,8.1828,3,219,0
2016-09-07,2016,9,68188,61.3692,3,251,2
2016-10-09,2016,10,178667,160.8003,4,283,1
2016-10-25,2016,10,170056,153.0504,4,299,1
2016-11-10,2016,11,78476,70.6284,4,315,2
2016-12-12,2016,12,23065,20.7585,4,347,0
2016-12-28,2016,12,7257,6.5313,4,363,0
2017-01-13,2017,1,14988,13.4892,1,13,0
2017-01-29,2017,1,6903,6.2127,1,29,0
2017-02-14,2017,2,5560,5.004,1,45,0
2017-03-02,2017,3,18,0.0162,1,61,0
2017-03-18,2017,3,19302,17.3718,1,77,0
2017-04-03,2017,4,30935,27.8415,2,93,0
2017-04-19,2017,4,27413,24.6717,2,109,0
2017-05-05,2017,5,36907,33.2163,2,125,0
2017-06-06,2017,6,30180,27.162,2,157,0
2017-06-22,2017,6,54724,49.2516,2,173,2
2017-07-08,2017,7,6598,5.9382,3,189,0
2017-07-24,2017,7,73637,66.2733,3,205,2
2017-08-09,2017,8,41011,36.9099,3,221,2
2017-08-25,2017,8,80572,72.5148,3,237,2
2017-09-10,2017,9,9363,8.4267,3,253,0
2017-10-28,2017,10,24399,21.9591,4,301,0
2017-11-13,2017,11,17749,15.9741,4,317,0
2017-12-15,2017,12,20501,18.4509,4,349,0
