Date,Year,Month,Deforested_Pixels,Deforested_Area_km2,Valid_Pixels,Cloud_Coverage
2013-05-26,2013,5,10080,9.072,3247709,23.788461177442365
2013-06-11,2013,6,2178,1.9602,2369093,44.40628050612
2013-06-27,2013,6,25041,22.5369,3205769,24.77263554103777
2013-07-13,2013,7,45247,40.7223,3531613,17.126300030036788
2013-07-29,2013,7,3544,3.1896,3312537,22.26719137193062
2013-08-14,2013,8,31537,28.3833,3056865,28.26685345798603
2013-08-30,2013,8,70432,63.3888,4099362,3.803362243748587
2013-10-01,2013,10,70498,63.4482,2845262,33.23238154238942
2013-10-17,2013,10,49076,44.1684,3375052,20.80019899376736
2013-11-18,2013,11,6746,6.0714,2979737,30.076758091161672
2014-01-21,2014,1,5655,5.0895,3249108,23.75563189907637
2014-02-06,2014,2,11128,10.0152,3552755,16.63017665390103
2014-02-22,2014,2,15849,14.2641,3338460,21.65887587294436
2014-03-10,2014,3,21443,19.2987,3156790,25.92198881129384
2014-03-26,2014,3,47369,42.6321,2742622,35.64095704738305
2014-04-11,2014,4,120791,108.7119,3642014,14.535602988661111
2014-04-27,2014,4,23501,21.1509,2944524,30.9030750168957
2014-05-13,2014,5,10376,9.3384,3413345,19.901606029886608
2014-05-29,2014,5,8229,7.4061,2906964,31.78446722234738
2014-06-14,2014,6,18881,16.9929,3699635,13.183454419163477
2014-06-30,2014,6,17636,15.8724,2715642,36.274076368551476
2014-07-16,2014,7,3470,3.123,2380989,44.127126041901334
2014-09-02,2014,9,34718,31.2462,2342521,45.029825598858594
2014-10-04,2014,10,19480,17.532,3245192,23.84752571900578
2014-10-20,2014,10,3197,2.8773,2412131,43.39634020425021
2015-01-08,2015,1,15242,13.7178,4261065,0.008799842306828065
2015-02-25,2015,2,8556,7.7004,2885754,32.28218630322145
2015-03-29,2015,3,62244,56.0196,3808824,10.621198468123449
2015-04-14,2015,4,24698,22.2282,3795269,10.939283434707514
2015-04-30,2015,4,17914,16.1226,3350982,21.365031538634828
2015-06-01,2015,6,8042,7.2378,2988606,29.868635954043697
2015-07-03,2015,7,29572,26.6148,3406749,20.056389389502137
2015-07-19,2015,7,2859,2.5731,2148026,49.59389314410152
2015-08-04,2015,8,11776,10.5984,2581669,39.41791976421116
2015-08-20,2015,8,102956,92.6604,3422498,19.686819478861604
2015-09-21,2015,9,13093,11.7837,2665315,37.45506213861981
2015-10-07,2015,10,32197,28.9773,3250843,23.714917962003458
2015-11-24,2015,11,6731,6.0579,2566938,39.76360103626943
2015-12-26,2015,12,1477,1.3293,2277761,46.549499699632044
2016-01-11,2016,1,1242,1.1178,2206619,48.21893538334459
2016-01-27,2016,1,6805,6.1245,3912955,8.177634790117894
2016-02-12,2016,2,21467,19.3203,3909302,8.263356987309455
2016-02-28,2016,2,1917,1.7253,2165986,49.172439363219944
2016-03-15,2016,3,58951,53.0559,3624985,14.935209694375606
2016-03-31,2016,3,35856,32.2704,2825303,33.70074434932793
2016-04-16,2016,4,13211,11.8899,2930974,31.22104265224901
2016-05-02,2016,5,26998,24.2982,3901902,8.437007208830815
2016-05-18,2016,5,2034,1.8306,2615028,38.63510925884208
2016-06-03,2016,6,750,0.675,2166541,49.15941559660584
2016-07-05,2016,7,11658,10.4922,2682362,37.055033040474584
2016-07-21,2016,7,1073,0.9657,2913488,31.631373432454758
2016-08-06,2016,8,7240,6.516,2502625,41.27278572501314
2016-09-07,2016,9,67718,60.9462,2755244,35.34476608845836
2016-10-09,2016,10,149638,134.6742,3374838,20.80522077044379
2016-10-25,2016,10,136791,123.1119,3033706,28.810308252609452
2016-11-10,2016,11,73181,65.8629,3831169,10.096845197867388
2016-12-12,2016,12,17074,15.3666,3253515,23.652216152286552
2016-12-28,2016,12,4357,3.9213,2297669,46.08233367124728
2017-01-13,2017,1,14604,13.1436,4111103,3.527845047683409
2017-01-29,2017,1,1292,1.1628,2268224,46.77329728917925
2017-03-18,2017,3,18956,17.0604,4008724,5.930295862431478
2017-04-03,2017,4,28484,25.6356,3812634,10.531792070286105
2017-04-19,2017,4,26069,23.4621,3732655,12.40859897123977
2017-05-05,2017,5,32651,29.3859,3465937,18.66746921228505
2017-06-06,2017,6,25252,22.7268,3410399,19.970737591049037
2017-06-22,2017,6,47632,42.8688,3149617,26.090312194938804
2017-07-08,2017,7,4342,3.9078,2337011,45.159124615153566
2017-07-24,2017,7,72734,65.4606,3842261,9.836557595554552
2017-08-09,2017,8,36732,33.0588,3254794,23.62220282345874
2017-08-25,2017,8,65660,59.094,2712299,36.35252402943606
2017-10-28,2017,10,21517,19.3653,3514366,17.53102237741233
2017-11-13,2017,11,13392,12.0528,2648300,37.85434031688819
2017-12-15,2017,12,11390,10.251,2683128,37.03705789592251
2017-12-31,2017,12,18480,16.632,3255188,23.61295712247503
2018-02-17,2018,2,20680,18.612,3279509,23.042234549823537
2018-03-05,2018,3,21979,19.7811,3146274,26.16875985582339
2018-03-21,2018,3,29120,26.208,3092190,27.437908312683035
2018-04-06,2018,4,66063,59.4567,3186361,25.228068446346775
2018-04-22,2018,4,29040,26.136,2834515,33.48457328977999
2018-05-08,2018,5,36128,32.5152,3937169,7.609423105804614
2018-05-24,2018,5,10180,9.162,3415736,19.845498235338287
2018-06-25,2018,6,441,0.3969,2294928,46.14665465194864
2018-07-27,2018,7,57979,52.1811,3515150,17.512624840429524
2018-08-12,2018,8,30177,27.1593,2264903,46.8512286926485
2018-08-28,2018,8,63390,57.051,3701814,13.13232146879928
2018-09-13,2018,9,123211,110.8899,3952745,7.243912855748292
2018-09-29,2018,9,32910,29.619,3067116,28.026300968686645
2018-10-15,2018,10,21488,19.3392,3897470,8.54100961177442
2018-11-16,2018,11,16149,14.5341,4074412,4.388845085229409
2018-12-02,2018,12,15277,13.7493,3042742,28.59826725238417
2018-12-18,2018,12,1379,1.2411,2830488,33.57907186303222
2019-01-03,2019,1,7937,7.1433,3072049,27.91054197642111
2019-02-04,2019,2,10,0.009,2147922,49.596333633701285
2019-02-20,2019,2,13680,12.312,2920372,31.469831793947588
2019-03-08,2019,3,44541,40.0869,2983269,29.993875309754447
2019-03-24,2019,3,159778,143.8002,3871533,9.1496536382068
2019-04-09,2019,4,171105,153.9945,3566266,16.313124202147634
2019-04-25,2019,4,58469,52.6221,3492750,18.038268754223928
2019-05-11,2019,5,58363,52.5267,3983489,6.522466584065478
2019-05-27,2019,5,68998,62.0982,3807472,10.65292483292033
2019-06-28,2019,6,98140,88.326,3855345,9.529525230907865
2019-07-30,2019,7,127797,115.0173,3730569,12.457549560711866
2019-08-31,2019,8,82107,73.8963,2825237,33.70229312157392
2019-10-18,2019,10,23426,21.0834,3225318,24.313893895021398
2019-12-05,2019,12,3168,2.8512,2806493,34.14214443943832
2020-01-06,2020,1,17763,15.9867,2984265,29.970502928587518
2020-03-10,2020,3,92809,83.5281,3799853,10.831714162348883
2020-04-11,2020,4,102196,91.9764,3111446,26.986042276789068
